title,authors,venue,year,date,type,citations,paper_link
"A Fashion Item Recommendation Model in Hyperbolic Space","Ryotaro Shimizu|Yu Wang|Masanari Kimura|Yuki Hirakawa|Takashi Wada|Yuki Saito|Julian McAuley",CVPR 2024 Workshop,2024,Jun 2024,workshop,0,
"Attributed Synthetic Data Generation for Zero-shot Image Classification","Shijian Wang|Linxin Song|Ryotaro Shimizu|Masayuki Goto|Hanqian Wu",CVPR 2024 Workshop,2024,Jun 2024,workshop,0,
"大規模視覚言語モデルを用いた「似合う」の自動評価法","平川優伎|森下和哉|和田崇史|清水良太郎|古澤拓也|Sai Htaung Kham|斎藤侑輝",MIRU 2024,2024,Jul 2024,domestic,0,
"Fashion-Specific Attributes Interpretation via Dual Gaussian Visual-Semantic Embedding","Ryotaro Shimizu|Masanari Kimura|Masayuki Goto",arXiv,2022,Oct 2022,preprint,0,https://arxiv.org/abs/2210.17417
"On permutation-invariant neural networks","Masanari Kimura|Ryotaro Shimizu|Yuki Hirakawa|Ryosuke Goto|Yuki Saito",arXiv,2024,Mar 2024,preprint,0,https://arxiv.org/abs/2403.17410
"Transferring Visual Explainability of Self-Explaining Models to Prediction-Only Models without Additional Training","Yuya Yoshikawa|Ryotaro Shimizu|Takahiro Kawashima|Yuki Saito",arXiv,2025,Jul 2025,preprint,0,https://arxiv.org/abs/2507.04380
"Vision and Language Reference Prompt into SAM for Few-shot Segmentation","Kosuke Sakurai|Ryotaro Shimizu|Masayuki Goto",arXiv,2025,Feb 2025,preprint,0,https://arxiv.org/abs/2502.00719
"Partial Visual-Semantic Embedding: Fine-Grained Outfit Image Representation with Massive Volumes of Tags via Angular-Based Contrastive Learning","Ryotaro Shimizu|Takuma Nakamura|Masayuki Goto",Knowledge-Based Systems,2023,Oct 2023,journal,6,
"Multiple Treatment Effect Estimation for Business Analytics Using Observational Data","Ryotaro Shimizu|Masayuki Goto",Cogent Engineering,2023,Dec 2023,journal,3,https://www.tandfonline.com/doi/full/10.1080/23311916.2023.2300557
"A Method for Advanced Analysis of Item Browsing Data Considering User Interest Durations Using Parameters Estimated from Hidden Semi-Markov Model","Kirin Tsuchiya|Yuki Tsuboi|Ryotaro Shimizu|Masayuki Goto",Industrial Engineering & Management Systems,2023,Dec 2023,journal,0,
"最大次数が未知の多項式回帰モデルに対するスパース推定に関する一考察","井上一磨|清水良太郎|須子統太|後藤正幸",情報処理学会論文誌,2023,,journal,0,
"Fashion-Specific Ambiguous Expression Interpretation with Partial Visual-Semantic Embedding","Ryotaro Shimizu|Takuma Nakamura|Masayuki Goto",CVPR 2023 Workshop,2023,Jun 2023,workshop,3,https://openaccess.thecvf.com/content/CVPR2023W/CVFAD/html/Shimizu_Fashion-Specific_Ambiguous_Expression_Interpretation_With_Partial_Visual-Semantic_Embedding_CVPRW_2023_paper.html
